"UseCase","DeclarationFiles","DeclarationCount","TotalMatches","References","SafeToRemove"
"ListGuardiansUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Guardians\ListGuardiansUseCase.cs","1","7","6","NO"
"ListImportJobsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Import\ListImportJobsUseCase.cs","1","2","1","NO"
"ListModulesUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ModuleAccess\ListModulesUseCase.cs","1","7","6","NO"
"ListNoticesUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Notices\ListNoticesUseCase.cs","1","2","1","NO"
"ListPermissionsForRoleUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Roles\ListPermissionsForRoleUseCase.cs","1","2","1","NO"
"ListPermissionsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Permissions\ListPermissionsUseCase.cs","1","2","1","NO"
"ListPlansUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ListPlansUseCase.cs","1","7","6","NO"
"ListPublicNoticesUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Notices\ListPublicNoticesUseCase.cs","1","2","1","NO"
"ListRolesUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Roles\ListRolesUseCase.cs","1","2","1","NO"
"ListSchoolUnitsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\SchoolUnits\ListSchoolUnitsUseCase.cs","1","4","3","NO"
"ListServicesUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Services\ListServicesUseCase.cs","1","3","2","NO"
"ListStaffUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Staff\ListStaffUseCase.cs","1","5","4","NO"
"ListStudentGradesUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Grades\ListStudentGradesUseCase.cs","1","3","2","NO"
"ListStudentGuardiansUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\StudentGuardians\ListStudentGuardiansUseCase.cs","1","5","4","NO"
"ListStudentPlanInstallmentsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\Installments\ListStudentPlanInstallmentsUseCase.cs","1","5","4","NO"
"ListStudentPlansUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\StudentPlans\ListStudentPlansUseCase.cs","1","5","4","NO"
"ListStudentsInClassUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ClassGroups\ManageClassStudentsUseCases.cs","1","3","2","NO"
"ListStudentsUseCase","D:\workspace\Particular\Repositórios\school-management\school-management-api\SchoolManagement.Application\ListStudentsUseCase.cs","1","3","2","NO"
